,vin,visitas,year_modelo,ultimo_kilometraje,num_servicios,num_rep_llantas,num_rep_frenos,num_rep_amortiguadores,num_rep_transmision
0,MALA74BC0FM057165,1,2015,94550,0,0,0,0,0
1,MALA74BC0FM057313,2,2015,130233,0,0,0,0,0
2,MALA74BC0FM057490,1,2015,51921,1,0,2,0,0
3,MALA74BC0FM057506,1,2015,131489,1,0,0,0,0
4,MALA74BC0FM063547,6,2015,66309,25,8,0,0,1
5,MALA74BC0FM063886,1,2015,111031,0,0,0,0,0
6,MALA74BC0FM063905,1,2015,52712,0,0,0,0,0
7,MALA74BC0FM063919,2,2015,62027,5,0,0,0,0
8,MALA74BC0FM063967,1,2015,37983,0,0,0,0,0
9,MALA74BC0FM063970,1,2015,99442,0,0,0,0,0
10,MALA74BC0FM064004,3,2015,26252,5,0,0,0,0
11,MALA74BC0FM066173,1,2015,53124,1,0,0,0,0
12,MALA74BC0FM066187,2,2015,30153,0,0,0,0,0
13,MALA74BC0FM066190,1,2015,32772,12,0,0,0,0
14,MALA74BC0FM066612,1,2015,47479,3,0,0,0,0
15,MALA74BC0FM068456,2,2015,46452,1,0,0,0,0
16,MALA74BC0FM068666,2,2015,37789,2,0,0,0,0
17,MALA74BC0FM068778,3,2015,71030,5,0,0,0,0
18,MALA74BC0FM068781,9,2015,94328,52,21,2,0,2
19,MALA74BC0FM068831,1,2015,68125,1,0,0,0,0
20,MALA74BC0FM068859,1,2015,50655,0,0,0,0,0
21,MALA74BC0FM072944,1,2015,139250,3,1,0,0,1
22,MALA74BC0FM074144,2,2015,72453,2,0,0,0,0
23,MALA74BC0GM084044,1,2016,42769,1,0,0,0,0
24,MALA74BC0GM084108,2,2016,63511,4,0,0,0,0
25,MALA74BC0GM084593,4,2016,80200,5,1,0,0,0
26,MALA74BC0GM084724,1,2016,183338,5,1,0,0,1
27,MALA74BC0GM085856,10,2016,98978,27,10,1,0,0
28,MALA74BC0GM086487,2,2016,92711,0,0,0,0,0
29,MALA74BC0GM086523,1,2016,97838,3,0,0,0,0
30,MALA74BC0GM086974,2,2016,39414,14,4,0,0,0
31,MALA74BC0GM087817,4,2016,90426,0,0,0,0,0
32,MALA74BC0GM087820,4,2016,73617,4,0,0,0,0
33,MALA74BC0GM087896,1,2016,99986,1,0,0,0,0
34,MALA74BC0GM087963,1,2016,108351,0,0,0,0,0
35,MALA74BC0GM088031,1,2016,71481,1,0,0,0,0
36,MALA74BC0GM089339,1,2016,73605,1,0,0,0,0
37,MALA74BC0GM089342,7,2016,77441,9,0,2,0,0
38,MALA74BC0GM089728,1,2016,81131,1,0,0,0,0
39,MALA74BC0GM092418,1,2016,103228,0,0,0,0,0
40,MALA74BC0GM092502,12,2016,98434,43,22,6,0,1
41,MALA74BC0GM092743,10,2016,82719,33,15,3,0,1
42,MALA74BC0GM098185,1,2016,166000,3,0,0,0,0
43,MALA74BC0GM098249,1,2016,42178,4,0,0,0,0
44,MALA74BC0GM098316,5,2016,149326,6,0,0,0,0
45,MALA74BC0GM098378,1,2016,51373,2,0,0,0,0
46,MALA74BC0GM098526,1,2016,30042,1,0,0,0,0
47,MALA74BC0GM098669,3,2016,36924,7,0,0,0,0
48,MALA74BC0GM098672,1,2016,130409,0,0,0,0,0
49,MALA74BC0GM104034,4,2016,57798,13,5,0,0,0
50,MALA74BC0GM104132,4,2016,200704,5,0,0,0,0
51,MALA74BC0GM110755,5,2016,89130,4,0,1,0,0
52,MALA74BC0GM110853,1,2016,120246,0,0,0,0,0
53,MALA74BC0GM112067,6,2016,177203,13,0,0,0,0
54,MALA74BC0GM112179,1,2016,38065,0,0,0,0,0
55,MALA74BC0GM112182,3,2016,90500,3,0,0,0,0
56,MALA74BC0GM112330,1,2016,46941,1,0,0,0,0
57,MALA74BC0GM112358,1,2016,83736,0,0,0,0,0
58,MALA74BC0GM112361,1,2016,49644,1,0,0,0,0
59,MALA74BC0GM112439,9,2016,94530,10,0,0,0,0
60,MALA74BC0GM112490,1,2016,1126448,0,1,0,0,0
61,MALA74BC0GM112506,2,2016,91601,2,0,0,0,0
62,MALA74BC0GM112554,1,2016,109918,2,0,0,0,0
63,MALA74BC0GM112652,6,2016,65796,8,4,0,0,0
64,MALA74BC0GM112828,2,2016,86223,1,0,0,0,0
65,MALA74BC0GM112831,1,2016,107860,7,0,0,0,0
66,MALA74BC0GM112957,3,2016,84434,5,0,0,0,0
67,MALA74BC0GM113008,4,2016,94429,4,0,0,0,0
68,MALA74BC0GM113073,7,2016,89055,2,0,0,0,0
