,vin,visitas,year_modelo,ultimo_kilometraje,num_servicios,num_rep_llantas,num_rep_frenos,num_rep_amortiguadores,num_rep_transmision
0,MB2C22AC0HM100930,2,2017,36754,2,0,0,0,0
1,MB2C22AC0HM100975,1,2017,70777,6,0,1,3,0
2,MB2C22AC0HM100989,6,2017,92340,5,0,2,0,0
3,MB2C22AC0HM100992,4,2017,99854,3,0,0,0,0
4,MB2C22AC0HM101009,4,2017,92012,3,0,2,0,0
5,MB2C22AC0HM101012,12,2017,65295,5,0,0,0,0
6,MB2C22AC0HM101026,7,2017,7673,5,0,0,0,0
7,MB2C22AC0HM103343,5,2017,83410,6,2,0,0,0
8,MB2C22AC0HM103357,2,2017,98410,3,0,0,0,0
9,MB2C22AC0HM103391,5,2017,94927,10,0,2,0,0
10,MB2C22AC0HM103407,6,2017,33938,6,0,4,0,0
11,MB2C22AC0HM103410,5,2017,79783,9,4,0,0,0
12,MB2C22AC0HM103424,4,2017,36672,0,0,0,0,0
13,MB2C22AC0HM110695,5,2017,81998,12,2,1,0,0
14,MB2C22AC0HM110955,2,2017,49592,3,0,0,0,0
15,MB2C22AC0HM110969,2,2017,67312,2,0,0,0,0
16,MB2C22AC0HM110972,5,2017,94414,5,0,0,0,0
17,MB2C22AC0HM110986,7,2017,93191,7,0,2,0,0
18,MB2C22AC0HM116755,7,2017,97894,6,1,0,0,0
19,MB2C22AC0HM123639,7,2017,70161,3,0,0,0,0
20,MB2C22AC0HM124130,4,2017,87506,5,0,0,0,0
21,MB2C22AC0HM124144,2,2017,82033,4,0,1,0,0
22,MB2C22AC0HM133295,2,2017,89739,3,0,0,0,0
23,MB2C22AC0HM133300,1,2017,54296,1,0,0,0,0
24,MB2C22AC0HM136522,2,2017,16250,0,0,0,0,0
25,MB2C22AC0HM137847,1,2017,40382,0,0,0,0,0
26,MB2C22AC0HM137850,1,2017,3194,1,0,0,0,0
27,MB2C22AC0HM137881,2,2017,97029,6,0,1,0,0
28,MB2C22AC0HM137895,1,2017,29834,1,0,0,0,0
29,MB2C22AC0HM137900,2,2017,70716,0,0,0,0,0
30,MB2C22AC0HM137914,2,2017,50338,4,0,0,0,0
31,MB2C22AC0HM137928,3,2017,21239,2,0,0,0,0
32,MB2C22AC0HM150629,2,2017,89086,3,0,0,0,0
33,MB2C22AC0HM150646,5,2017,71261,3,0,0,0,0
34,MB2C22AC0HM151067,1,2017,25251,1,0,2,0,0
35,MB2C22AC0HM151070,4,2017,64927,14,3,0,0,0
36,MB2C22AC0HM163879,4,2017,99652,3,0,0,0,0
37,MB2C22AC0HM163882,1,2017,55692,1,0,0,0,0
38,MB2C22AC0HM163896,1,2017,41152,1,0,0,0,0
39,MB2C22AC0HM163929,4,2017,63760,6,0,1,0,0
40,MB2C22AC0HM164515,4,2017,9587,8,0,0,0,0
41,MB2C22AC0HM164529,5,2017,67209,8,0,0,0,0
42,MB2C22AC0HM164532,1,2017,36217,2,0,0,0,0
43,MB2C22AC0HM165017,4,2017,46034,15,7,3,0,0
44,MB2C22AC0HM165020,4,2017,146372,5,0,0,0,0
45,MB2C22AC0HM165034,2,2017,60655,3,0,0,0,0
46,MB2C22AC0HM165051,2,2017,72727,2,0,0,0,0
47,MB2C22AC0HM165115,3,2017,79799,1,0,0,0,0
48,MB2C22AC0HM165597,2,2017,14193,0,0,0,0,0
49,MB2C22AC0HM165602,8,2017,99986,11,0,1,2,0
50,MB2C22AC0HM166121,2,2017,73349,0,0,0,0,0
51,MB2C22AC0HM174171,4,2017,92325,5,0,0,0,0
52,MB2C22AC0HM174185,4,2017,32370,2,0,0,0,0
53,MB2C22AC0HM174199,1,2017,38468,1,0,0,0,0
54,MB2C22AC0HM174364,4,2017,96099,3,0,0,0,0
55,MB2C22AC0HM174378,6,2017,66346,5,0,1,0,0
56,MB2C22AC0HM174445,2,2017,72486,0,0,0,0,0
57,MB2C22AC0HM174459,2,2017,24966,2,0,0,0,0
58,MB2C22AC0HM174476,2,2017,61637,1,0,0,0,0
59,MB2C22AC0HM174493,3,2017,79258,3,0,0,0,0
60,MB2C22AC0HM174509,6,2017,79222,15,0,2,0,0
61,MB2C22AC0HM174512,5,2017,9472,6,0,0,0,0
62,MB2C22AC0HM174526,2,2017,66739,3,0,0,0,0
63,MB2C22AC0HM174753,15,2017,98825,43,13,5,0,0
64,MB2C22AC0HM174770,7,2017,65252,5,0,1,0,0
65,MB2C22AC0HM174798,2,2017,37568,17,0,1,0,0
66,MB2C22AC0HM174803,3,2017,67253,4,0,0,0,0
67,MB2C22AC0HM174817,2,2017,45885,3,0,0,0,0
68,MB2C22AC0HM174820,5,2017,78768,16,5,0,0,0
69,MB2C22AC0HM175112,1,2017,56384,1,0,0,0,0
70,MB2C22AC0HM175143,4,2017,61283,3,0,1,0,0
71,MB2C22AC0HM175157,1,2017,60125,1,0,0,0,0
72,MB2C22AC0HM175160,1,2017,103783,1,0,0,0,0
73,MB2C22AC0HM175188,3,2017,25427,3,0,0,0,0
74,MB2C22AC0HM175191,2,2017,30279,4,0,0,0,0
75,MB2C22AC0HM175210,1,2017,52865,0,0,0,0,0
76,MB2C22AC0HM175241,1,2017,71911,1,0,0,0,0
77,MB2C22AC0HM175255,3,2017,67959,1,0,0,0,0
78,MB2C22AC0HM175272,3,2017,148193,2,0,1,0,0
79,MB2C22AC0HM175286,12,2017,93218,10,0,1,0,0
80,MB2C22AC0HM175305,4,2017,72927,7,0,0,0,0
81,MB2C22AC0HM175773,10,2017,75253,31,10,0,0,0
82,MB2C22AC0HM175787,2,2017,77566,4,0,0,0,0
83,MB2C22AC0HM175790,2,2017,13815,0,0,0,0,0
84,MB2C22AC0HM177622,8,2017,77308,2,0,0,0,0
85,MB2C22AC0HM177667,2,2017,72592,2,0,0,0,0
86,MB2C22AC0HM180598,7,2017,80356,9,0,0,0,0
87,MB2C22AC0HM180603,2,2017,137739,3,0,0,0,0
88,MB2C22AC0HM183243,7,2017,64101,4,0,0,0,0
89,MB2C22AC0HM183257,11,2017,97753,34,8,1,0,0
90,MB2C22AC0HM183260,4,2017,51740,3,0,0,0,0
91,MB2C22AC0HM183288,4,2017,53881,10,0,0,0,0
92,MB2C22AC0HM183291,9,2017,99584,2,0,0,0,0
93,MB2C22AC0HM183310,6,2017,79066,1,0,0,0,0
94,MB2C22AC0HM183324,4,2017,86400,2,1,0,0,0
95,MB2C22AC0HM183338,1,2017,40781,1,0,0,0,0
96,MB2C22AC0HM183405,2,2017,60761,2,0,0,0,0
97,MB2C22AC0HM183419,2,2017,3659,2,0,0,0,0
98,MB2C22AC0HM183436,4,2017,40271,2,0,0,0,0
99,MB2C22AC0HM183825,10,2017,94512,13,1,1,1,0
100,MB2C22AC0HM183839,9,2017,94268,14,0,0,0,0
101,MB2C22AC0HM183842,1,2017,43705,1,0,0,0,0
102,MB2C22AC0HM183856,6,2017,9600,6,0,0,0,0
103,MB2C22AC0HM183873,2,2017,84803,0,0,0,0,0
104,MB2C22AC0HM183887,4,2017,89947,4,0,0,0,0
105,MB2C22AC0HM183890,2,2017,60211,0,0,0,0,0
106,MB2C22AC0HM183906,4,2017,95205,3,0,2,0,0
107,MB2C22AC0HM184361,1,2017,10345,1,0,0,0,0
108,MB2C22AC0HM184392,5,2017,71071,7,0,0,0,0
109,MB2C22AC0HM184909,7,2017,91878,7,0,0,0,0
110,MB2C22AC0HM184912,2,2017,69095,2,0,0,0,0
111,MB2C22AC0HM184943,2,2017,99536,5,1,0,0,0
112,MB2C22AC0HM185056,6,2017,8424,13,0,0,0,0
113,MB2C22AC0HM185901,4,2017,46770,5,0,0,0,0
114,MB2C22AC0HM185915,6,2017,7247,8,0,0,0,0
115,MB2C22AC0HM190242,1,2017,49939,0,0,0,0,0
116,MB2C22AC0HM199605,3,2017,52477,4,0,0,0,0
117,MB2C22AC0HM200154,1,2017,52599,1,0,0,0,0
118,MB2C22AC0HM200168,2,2017,38408,9,0,0,0,0
119,MB2C22AC0HM200588,7,2017,82966,20,6,1,0,0
120,MB2C22AC0HM200607,3,2017,43238,0,0,0,0,0
121,MB2C22AC0HM200610,2,2017,29522,0,0,0,0,0
122,MB2C22AC0HM202633,3,2017,50339,3,0,0,0,0
123,MB2C22AC0HM202650,2,2017,31014,3,0,0,0,0
124,MB2C22AC0HM203295,3,2017,61105,3,0,0,1,0
125,MB2C22AC0HM203300,1,2017,28438,1,0,0,0,0
126,MB2C22AC0HM203328,1,2017,1609,0,0,0,0,0
127,MB2C22AC0HM203331,4,2017,47494,0,0,0,0,0
128,MB2C22AC0HM203345,1,2017,31483,0,0,0,0,0
129,MB2C22AC0HM203359,7,2017,80449,5,0,0,0,0
130,MB2C22AC0HM203362,3,2017,56061,4,0,0,0,0
131,MB2C22AC0HM203393,5,2017,90253,17,0,0,0,0
132,MB2C22AC0HM203409,1,2017,56645,3,0,0,0,0
133,MB2C22AC0HM203412,5,2017,78511,11,0,2,0,0
134,MB2C22AC0HM203426,1,2017,52081,0,0,0,0,0
135,MB2C22AC0HM204074,6,2017,98386,15,5,1,0,0
136,MB2C22AC0HM204091,1,2017,52706,1,0,0,0,0
137,MB2C22AC0HM204107,3,2017,72079,5,0,0,0,0
138,MB2C22AC0HM204110,4,2017,18890,3,0,0,0,0
139,MB2C22AC0HM204141,3,2017,83734,4,0,0,0,0
140,MB2C22AC0HM204527,6,2017,80752,6,0,0,0,0
141,MB2C22AC0HM204544,14,2017,97320,25,5,2,0,0
142,MB2C22AC0HM204625,3,2017,44003,3,0,0,0,0
143,MB2C22AC0HM207475,1,2017,20201,1,0,0,0,0
144,MB2C22AC0HM208030,8,2017,90876,7,0,0,0,0
145,MB2C22AC0HM212157,3,2017,93311,3,0,0,0,0
146,MB2C22AC0HM212160,5,2017,66708,0,0,0,0,0
147,MB2C22AC0HM212613,11,2017,9893,43,10,0,0,0
148,MB2C22AC0HM212658,5,2017,140629,5,0,0,0,0
149,MB2C22AC0HM212675,7,2017,99021,5,0,0,0,0
150,MB2C22AC0HM214071,3,2017,91955,3,0,0,0,0
151,MB2C22AC0HM214099,3,2017,65586,3,0,0,0,0
152,MB2C22AC0HM214121,1,2017,50022,1,0,0,0,0
153,MB2C22AC0HM214135,12,2017,70563,39,15,5,0,0
154,MB2C22AC0HM214152,5,2017,29074,0,0,0,0,0
155,MB2C22AC0HM214183,1,2017,65436,0,0,0,0,0
156,MB2C22AC0HM214197,5,2017,45996,8,0,0,0,0
157,MB2C22AC0HM214202,5,2017,53770,3,0,0,0,0
158,MB2C22AC0HM214216,2,2017,30165,3,0,0,0,0
159,MB2C22AC0HM214569,2,2017,81818,2,0,0,0,0
160,MB2C22AC0HM214572,5,2017,73295,5,0,0,0,0
161,MB2C22AC0HM214913,7,2017,89341,7,0,2,0,0
162,MB2C22AC0HM214944,11,2017,97835,47,10,1,0,0
163,MB2C22AC0HM214958,9,2017,86325,9,0,1,0,0
164,MB2C22AC0HM214975,5,2017,62497,6,0,1,0,0
165,MB2C22AC0HM215009,5,2017,6498,10,0,0,0,0
166,MB2C22AC0HM215026,3,2017,46105,2,0,0,0,0
167,MB2C22AC0HM215043,1,2017,22019,0,0,0,0,0
168,MB2C22AC0HM215057,5,2017,81071,17,5,0,0,0
169,MB2C22AC0HM215060,4,2017,44507,0,0,0,0,0
170,MB2C22AC0HM215088,3,2017,54092,16,0,0,0,0
171,MB2C22AC0HM215107,3,2017,45042,6,0,0,0,0
172,MB2C22AC0HM215110,4,2017,35009,1,0,0,0,0
173,MB2C22AC0HM217553,2,2017,84796,4,0,0,0,0
174,MB2C22AC0HM223868,3,2017,86972,14,6,2,0,0
175,MB2C22AC0HM223885,7,2017,8108,0,0,0,0,0
176,MB2C22AC0HM223899,3,2017,81666,12,4,1,0,0
177,MB2C22AC0HM223921,4,2017,93924,4,0,0,0,0
178,MB2C22AC0HM224082,2,2017,31316,1,0,1,0,0
179,MB2C22AC0HM224244,2,2017,35884,2,0,0,0,0
180,MB2C22AC0HM224258,1,2017,22348,1,0,0,0,0
181,MB2C22AC0HM224275,5,2017,44263,29,11,4,0,0
182,MB2C22AC0HM224308,5,2017,6593,6,0,0,0,0
183,MB2C22AC0HM224311,2,2017,53901,2,0,0,0,0
